,symbol,open,high,low,volume,close
0,AOS,1.0,1.0089976606082418,0.9928018715134065,1017343,0
1,ABT,1.0009215740484747,1.0112328514869717,0.9883067857471688,4279352,0
2,ABBV,0.9871532514779445,1.0032500287918922,0.9892894161004262,5982497,0
3,ABMD,1.0,1.0268214285714286,0.9951071428571429,241698,1
4,ACN,0.996690472043198,1.0131946871723174,0.9975533030408947,1486326,1
5,ATVI,1.0065877760156154,1.005453884377651,0.982629984244334,5516890,0
6,ADBE,0.9968022636097599,1.0050744643620952,0.9752303923474744,2033159,0
7,AAP,0.9987370548118211,1.0064491654021246,0.9786924633282751,585716,0
8,AMD,0.9986043265875785,1.0011646866992778,0.9720475192173305,40445635,0
9,AES,1.0,1.0097186700767262,0.9959079283887468,3682527,1
10,AFL,0.9901517167953154,1.0137096774193548,0.9935483870967742,2657757,0
11,A,1.0,1.0111858943975733,0.9945966442316808,914523,0
12,APD,0.9980371282187771,1.0052645088169605,0.9923997466582218,998332,0
13,AKAM,1.0022518621167504,1.0010369858278605,0.9712236432768753,1369271,0
14,ALK,1.0023684210526316,1.03307954843791,1.0,2217233,1
15,ALB,0.9969905417024936,1.0278137128072444,0.9901897369555842,1103416,1
16,ARE,1.0,1.0021165940977261,0.9800737784228349,491862,0
17,ALXN,1.0008870967741936,1.0024977842236726,0.9846909999194263,1883948,0
18,ALGN,1.0,1.0110035079303212,0.9845890924354631,555454,0
19,ALLE,1.0,1.0098095238095237,0.9897142857142858,476082,0
20,LNT,1.0,1.004420703628661,0.9902376128200405,697951,0
21,ALL,1.0,1.0133032215933828,0.9930343926861123,2532393,0
22,GOOGL,1.0041451438046043,1.0058745078115077,0.9817699733265591,1659228,0
23,GOOG,1.001008243500317,1.0057609005504913,0.9822246435109814,1930990,0
24,MO,0.9939271255060729,1.0137474541751528,0.9959266802443991,5214707,1
25,AMZN,0.9948051948051948,1.0051871192341166,0.9689585146504207,5828916,0
26,AMCR,1.0,1.003930131004367,0.9917030567685591,3150749,0
27,AEE,1.0,1.005046774987691,0.9963072378138849,702756,1
28,AAL,1.0057003257328991,1.0178137651821864,0.9951417004048583,37647677,1
29,AEP,1.0006706158488878,1.0058081090137383,0.9895007260136267,2266763,0
30,AXP,1.002664129400571,1.008445625355855,0.9941165306509775,2859413,0
31,AIG,1.0,1.0191339375629407,0.9912722390063781,7063644,0
32,AMT,0.9995061728395062,1.001646903820817,0.9802371541501977,2066214,0
33,AWK,1.0,1.0113738594011052,0.9930600179925458,597719,1
